,variable,mapped_id,description,calculation,index,map
1974,completion.outcome_percentage_suppressed.part_time.8yr.transfer_pooled,OMENRAP_PARTTIME_POOLED_SUPP,"Percentage of part-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",,,
1975,completion.outcome_percentage_suppressed.part_time.8yr.award_pooled,OMAWDP8_PARTTIME_POOLED_SUPP,"Percentage of part-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",,,
1976,completion.outcome_percentage_suppressed.part_time.8yr.unknown_pooled,OMENRUP_PARTTIME_POOLED_SUPP,"Percentage of part-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",,,
1977,aid.ftft_pell_grant_rate,FTFTPCTPELL,"Percentage of full-time, first-time undergraduate students awarded a Pell Grant",,,
1978,aid.ftft_federal_loan_rate,FTFTPCTFLOAN,"Percentage of full-time, first-time undergraduate students awarded a federal loan",,,
1979,student.enrollment.undergrad_12_month,UG12MN,Unduplicated count of undergraduate students enrolled during a 12 month period,,,
1980,student.enrollment.grad_12_month,G12MN,Unduplicated count of graduate students enrolled during a 12 month period,,,
1981,student.ftft_undergrads_with_pell_grant_or_federal_student_loan,SCUGFFN,"Number of full-time, first-time undergraduate students (denominator percent full-time, first-time receiving a pell grant or federal student loan",,,
1982,aid.ftft_undergrads_pell_federal_loan_years,POOLYRS_FTFTAIDPCT,Years used for rolling averages of FTFTPCTPELL_POOLED_SUPP and FTFTPCTFLOAN_POOLED_SUPP,,,
1983,aid.ftft_pell_grant_rate_pooled,FTFTPCTPELL_POOLED_SUPP,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a Pell Grant, pooled in rolling averages and suppressed for small n size",,,
1984,aid.ftft_federal_loan_rate_pooled,FTFTPCTFLOAN_POOLED_SUPP,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a federal loan, pooled in rolling averages and suppressed for small n size",,,
1985,student.ftft_undergrads_with_pell_grant_or_federal_student_loan_pooled,SCUGFFN_POOLED,"Number of full-time, first-time degree/certificate-seeking undergraduate students (denominator for percent full-time, first-time degree/certificate-seeking undergraduates receiving a pell grant or federal student loan), pooled in rolling averages",,,
1986,aid.plus_loan_pct_lower,PPLUS_PCT_LOW,Lower bound of estimated percentage range of students whose parents took out a PLUS loan,,,
1987,aid.plus_loan_pct_upper,PPLUS_PCT_HIGH,Upper bound of estimated percentage range of students whose parents took out a PLUS loan,,,
1988,aid.plus_loan_pct_lower_pooled,PPLUS_PCT_LOW_POOLED_SUPP,"Lower bound of estimated percentage range of students whose parents took out a PLUS loan, pooled in rolling averages and suppressed for small n size",,,
1989,aid.plus_loan_pct_upper_pooled,PPLUS_PCT_HIGH_POOLED_SUPP,"Upper bound of estimated percentage range of students whose parents took out a PLUS loan, pooled in rolling averages and suppressed for small n size",,,
1990,aid.plus_loan_pct_years,POOLYRS_PLUSPCT,Years used for rolling averages of PPLUS_PCT_LOW_POOLED_SUPP and PPLUS_PCT_HIGH_POOLED_SUPP,,,
1991,aid.plus_debt.all.eval_inst.count,PLUS_DEBT_INST_N,Student recipient count for median PLUS loan debt disbursed at this institution,,,
1992,aid.plus_debt.all.eval_inst.median,PLUS_DEBT_INST_MD,Median PLUS loan debt disbursed at this institution,,,
1993,aid.plus_debt.all.all_inst.count,PLUS_DEBT_ALL_N,Student recipient count for median PLUS loan debt disbursed at all institutions,,,
1994,aid.plus_debt.all.all_inst.median,PLUS_DEBT_ALL_MD,Median PLUS loan debt disbursed at all institutions,,,
1995,aid.plus_debt.completers.eval_inst.count,PLUS_DEBT_INST_COMP_N,Student recipient count for median PLUS loan debt disbursed to completers at this institution,,,
1996,aid.plus_debt.completers.eval_inst.median,PLUS_DEBT_INST_COMP_MD,Median PLUS loan debt disbursed to completers at this institution,,,
1997,aid.plus_debt.completers.eval_inst.median_payment,PLUS_DEBT_INST_COMP_MDPAY10,Median estimated monthly payment for PLUS loan debt disbursed to completers at this institution,,,
1998,aid.plus_debt_suppressed.completers.eval_inst.median,PLUS_DEBT_INST_COMP_MD_SUPP,"Median PLUS loan debt disbursed to completers at this institution, suppressed for n=30",,,
1999,aid.plus_debt_suppressed.completers.eval_inst.median_payment,PLUS_DEBT_INST_COMP_MDPAY10_SUPP,"Median estimated monthly payment for PLUS loan debt disbursed to completers at this institution, suppressed for n=30",,,
2000,aid.plus_debt.completers.all_inst.count,PLUS_DEBT_ALL_COMP_N,Student recipient count for median PLUS loan debt disbursed to completers at all institutions,,,
2001,aid.plus_debt.completers.all_inst.median,PLUS_DEBT_ALL_COMP_MD,Median PLUS loan debt disbursed to completers at all institutions,,,
2002,aid.plus_debt.completers.all_inst.median_payment,PLUS_DEBT_ALL_COMP_MDPAY10,Median estimated monthly payment for PLUS loan debt disbursed to completers at all institutions,,,
2003,aid.plus_debt_suppressed.completers.all_inst.median,PLUS_DEBT_ALL_COMP_MD_SUPP,"Median PLUS loan debt disbursed to completers at all institutions, suppressed for n=30",,,
2004,aid.plus_debt_suppressed.completers.all_inst.median_payment,PLUS_DEBT_ALL_COMP_MDPAY10_SUPP,"Median estimated monthly payment for PLUS loan debt disbursed to completers at all institutions, suppressed for n=30",,,
2005,aid.plus_debt.noncompleters.eval_inst.count,PLUS_DEBT_INST_NOCOMP_N,Student recipient count for median PLUS loan debt disbursed to non-completers at this institution,,,
2006,aid.plus_debt.noncompleters.eval_inst.median,PLUS_DEBT_INST_NOCOMP_MD,Median PLUS loan debt disbursed to non-completers at this institution,,,
2007,aid.plus_debt.noncompleters.all_inst.count,PLUS_DEBT_ALL_NOCOMP_N,Student recipient count for median PLUS loan debt disbursed to non-completers at all institutions,,,
2008,aid.plus_debt.noncompleters.all_inst.median,PLUS_DEBT_ALL_NOCOMP_MD,Median PLUS loan debt disbursed to non-completers at all institutions,,,
2009,aid.plus_debt.male.eval_inst.count,PLUS_DEBT_INST_MALE_N,Student recipient count for median PLUS loan debt disbursed to males at this institution,,,
2010,aid.plus_debt.male.eval_inst.median,PLUS_DEBT_INST_MALE_MD,Median PLUS loan debt disbursed to males at this institution,,,
2011,aid.plus_debt.male.all_inst.count,PLUS_DEBT_ALL_MALE_N,Student recipient count for median PLUS loan debt disbursed to males at all institutions,,,
2012,aid.plus_debt.male.all_inst.median,PLUS_DEBT_ALL_MALE_MD,Median PLUS loan debt disbursed to males at all institutions,,,
2013,aid.plus_debt.not_male.eval_inst.count,PLUS_DEBT_INST_NOMALE_N,Student recipient count for median PLUS loan debt disbursed to non-males at this institution,,,
2014,aid.plus_debt.not_male.eval_inst.median,PLUS_DEBT_INST_NOMALE_MD,Median PLUS loan debt disbursed to non-males at this institution,,,
2015,aid.plus_debt.not_male.all_inst.count,PLUS_DEBT_ALL_NOMALE_N,Student recipient count for median PLUS loan debt disbursed to non-males at all institutions,,,
2016,aid.plus_debt.not_male.all_inst.median,PLUS_DEBT_ALL_NOMALE_MD,Median PLUS loan debt disbursed to non-males at all institutions,,,
2017,aid.plus_debt.pell.eval_inst.count,PLUS_DEBT_INST_PELL_N,Student recipient count for median PLUS loan debt disbursed to Pell recipients at this institution,,,
2018,aid.plus_debt.pell.eval_inst.median,PLUS_DEBT_INST_PELL_MD,Median PLUS loan debt disbursed to Pell recipients at this institution,,,
2019,aid.plus_debt.pell.all_inst.count,PLUS_DEBT_ALL_PELL_N,Student recipient count for median PLUS loan debt disbursed to Pell recipients at all institutions,,,
2020,aid.plus_debt.pell.all_inst.median,PLUS_DEBT_ALL_PELL_MD,Median PLUS loan debt disbursed to Pell recipients at all institutions,,,
2021,aid.plus_debt.not_pell.eval_inst.count,PLUS_DEBT_INST_NOPELL_N,Student recipient count for median PLUS loan debt disbursed to non-Pell-recipients at this institution,,,
2022,aid.plus_debt.not_pell.eval_inst.median,PLUS_DEBT_INST_NOPELL_MD,Median PLUS loan debt disbursed to non-Pell-recipients at this institution,,,
2023,aid.plus_debt.not_pell.all_inst.count,PLUS_DEBT_ALL_NOPELL_N,Student recipient count for median PLUS loan debt disbursed to non-Pell-recipients at all institutions,,,
2024,aid.plus_debt.not_pell.all_inst.median,PLUS_DEBT_ALL_NOPELL_MD,Median PLUS loan debt disbursed to non-Pell-recipients at all institutions,,,
2025,aid.plus_debt.stafford_this_school.eval_inst.count,PLUS_DEBT_INST_STAFFTHIS_N,Student recipient count for median PLUS loan debt disbursed at this institution to Stafford loan recipients at this institution,,,
2026,aid.plus_debt.stafford_this_school.eval_inst.median,PLUS_DEBT_INST_STAFFTHIS_MD,Median PLUS loan debt disbursed at this institution to Stafford loan recipients at this institution,,,
2027,aid.plus_debt.stafford_this_school.all_inst.count,PLUS_DEBT_ALL_STAFFTHIS_N,Student recipient count for median PLUS loan debt disbursed at any institution to Stafford loan recipients at this institution,,,
2028,aid.plus_debt.stafford_this_school.all_inst.median,PLUS_DEBT_ALL_STAFFTHIS_MD,Median PLUS loan debt disbursed at any institution to Stafford loan recipients at this institution,,,
2029,aid.plus_debt.nostafford_this_school.eval_inst.count,PLUS_DEBT_INST_NOSTAFFTHIS_N,Student recipient count for median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at this institution,,,
2030,aid.plus_debt.nostafford_this_school.eval_inst.median,PLUS_DEBT_INST_NOSTAFFTHIS_MD,Median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at this institution,,,
2031,aid.plus_debt.nostafford_this_school.all_inst.count,PLUS_DEBT_ALL_NOSTAFFTHIS_N,Student recipient count for median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at this institution,,,
2032,aid.plus_debt.nostafford_this_school.all_inst.median,PLUS_DEBT_ALL_NOSTAFFTHIS_MD,Median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at this institution,,,
2033,aid.plus_debt.stafford_any_school.eval_inst.count,PLUS_DEBT_INST_STAFFANY_N,Student recipient count for median PLUS loan debt disbursed at this institution to Stafford loan recipients at any institution,,,
2034,aid.plus_debt.stafford_any_school.eval_inst.median,PLUS_DEBT_INST_STAFFANY_MD,Median PLUS loan debt disbursed at this institution to Stafford loan recipients at any institution,,,
2035,aid.plus_debt.stafford_any_school.all_inst.count,PLUS_DEBT_ALL_STAFFANY_N,Student recipient count for median PLUS loan debt disbursed at any institution to Stafford loan recipients at any institution,,,
2036,aid.plus_debt.stafford_any_school.all_inst.median,PLUS_DEBT_ALL_STAFFANY_MD,Median PLUS loan debt disbursed at any institution to Stafford loan recipients at any institution,,,
2037,aid.plus_debt.nostafford_any_school.eval_inst.count,PLUS_DEBT_INST_NOSTAFFANY_N,Student recipient count for median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at any institution,,,
2038,aid.plus_debt.nostafford_any_school.eval_inst.median,PLUS_DEBT_INST_NOSTAFFANY_MD,Median PLUS loan debt disbursed at this institution to students not receiving a Stafford loan at any institution,,,
2039,aid.plus_debt.nostafford_any_school.all_inst.count,PLUS_DEBT_ALL_NOSTAFFANY_N,Student recipient count for median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at any institution,,,
2040,aid.plus_debt.nostafford_any_school.all_inst.median,PLUS_DEBT_ALL_NOSTAFFANY_MD,Median PLUS loan debt disbursed at any institution to students not receiving a Stafford loan at any institution,,,
2041,earnings.3_yrs_after_completion.not_working_not_enrolled.overall_count,COUNT_NWNE_3YR,Number of graduates not working and not enrolled 3 years after completing,,,
2042,earnings.3_yrs_after_completion.working_not_enrolled.overall_count,COUNT_WNE_3YR,Number of graduates working and not enrolled 3 years after completing,,,
2043,earnings.3_yrs_after_completion.overall_count_over_poverty_line,CNTOVER150_3YR,Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 3 years after completing,,integer,
2044,repayment.1_yr_db_fed_repayment.ug.count,DBRR1_FED_UG_N,Undergraduate federal student loan dollar-based 1-year repayment rate borrower count,,,
2045,repayment.1_yr_db_fed_repayment.ug.numerator,DBRR1_FED_UG_NUM,Undergraduate federal student loan dollar-based 1-year repayment rate numerator,,,
2046,repayment.1_yr_db_fed_repayment.ug.denominator,DBRR1_FED_UG_DEN,Undergraduate federal student loan dollar-based 1-year repayment rate denominator,,,
2047,repayment.1_yr_db_fed_repayment.ug.rate,DBRR1_FED_UG_RT,Undergraduate federal student loan dollar-based 1-year repayment rate,,,
2048,repayment.1_yr_db_fed_repayment.gr.count,DBRR1_FED_GR_N,Graduate federal student loan dollar-based 1-year repayment rate borrower count,,,
2049,repayment.1_yr_db_fed_repayment.gr.numerator,DBRR1_FED_GR_NUM,Graduate federal student loan dollar-based 1-year repayment rate numerator,,,
2050,repayment.1_yr_db_fed_repayment.gr.denominator,DBRR1_FED_GR_DEN,Graduate federal student loan dollar-based 1-year repayment rate denominator,,,
2051,repayment.1_yr_db_fed_repayment.gr.rate,DBRR1_FED_GR_RT,Graduate federal student loan dollar-based 1-year repayment rate,,,
2052,repayment.1_yr_db_fed_repayment.ug_completer.count,DBRR1_FED_UGCOMP_N,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate borrower count,,,
2053,repayment.1_yr_db_fed_repayment.ug_completer.numerator,DBRR1_FED_UGCOMP_NUM,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate numerator,,,
2054,repayment.1_yr_db_fed_repayment.ug_completer.denominator,DBRR1_FED_UGCOMP_DEN,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate denominator,,,
2055,repayment.1_yr_db_fed_repayment.ug_completer.rate,DBRR1_FED_UGCOMP_RT,Undergraduate borrower completers undergraduate federal student loan dollar-based 1-year repayment rate,,,
2056,repayment.1_yr_db_fed_repayment.ug_noncompleter.count,DBRR1_FED_UGNOCOMP_N,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 1-year repayment rate borrower count,,,
2057,repayment.1_yr_db_fed_repayment.ug_noncompleter.numerator,DBRR1_FED_UGNOCOMP_NUM,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 1-year repayment rate numerator,,,
2058,repayment.1_yr_db_fed_repayment.ug_noncompleter.denominator,DBRR1_FED_UGNOCOMP_DEN,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 1-year repayment rate denominator,,,
2059,repayment.1_yr_db_fed_repayment.ug_noncompleter.rate,DBRR1_FED_UGNOCOMP_RT,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 1-year repayment rate repayment rate,,,
2060,repayment.1_yr_db_fed_repayment.ug_completer_unknown.count,DBRR1_FED_UGUNK_N,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 1-year repayment rate borrower count,,,
2061,repayment.1_yr_db_fed_repayment.ug_completer_unknown.numerator,DBRR1_FED_UGUNK_NUM,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 1-year repayment rate numerator,,,
2062,repayment.1_yr_db_fed_repayment.ug_completer_unknown.denominator,DBRR1_FED_UGUNK_DEN,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 1-year repayment rate denominator,,,
2063,repayment.1_yr_db_fed_repayment.ug_completer_unknown.rate,DBRR1_FED_UGUNK_RT,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 1-year repayment rate repayment rate,,,
2064,repayment.1_yr_db_fed_repayment.gr_completer.count,DBRR1_FED_GRCOMP_N,Graduate borrower completers graduate federal student loan dollar-based 1-year repayment rate borrower count,,,
2065,repayment.1_yr_db_fed_repayment.gr_completer.numerator,DBRR1_FED_GRCOMP_NUM,Graduate borrower completers graduate federal student loan dollar-based 1-year repayment rate numerator,,,
2066,repayment.1_yr_db_fed_repayment.gr_completer.denominator,DBRR1_FED_GRCOMP_DEN,Graduate borrower completers graduate federal student loan dollar-based 1-year repayment rate denominator,,,
2067,repayment.1_yr_db_fed_repayment.gr_completer.rate,DBRR1_FED_GRCOMP_RT,Graduate borrower completers graduate federal student loan dollar-based 1-year repayment rate,,,
2068,repayment.1_yr_db_fed_repayment.gr_noncompleter.count,DBRR1_FED_GRNOCOMP_N,Graduate borrower non-completers graduate federal student loan dollar-based 1-year repayment rate borrower count,,,
2069,repayment.1_yr_db_fed_repayment.gr_noncompleter.numerator,DBRR1_FED_GRNOCOMP_NUM,Graduate borrower non-completers graduate federal student loan dollar-based 1-year repayment rate numerator,,,
2070,repayment.1_yr_db_fed_repayment.gr_noncompleter.denominator,DBRR1_FED_GRNOCOMP_DEN,Graduate borrower non-completers graduate federal student loan dollar-based 1-year repayment rate denominator,,,
2071,repayment.1_yr_db_fed_repayment.gr_noncompleter.rate,DBRR1_FED_GRNOCOMP_RT,Graduate borrower non-completers graduate federal student loan dollar-based 1-year repayment rate repayment rate,,,
2072,repayment.4_yr_db_fed_repayment.ug.count,DBRR4_FED_UG_N,Undergraduate federal student loan dollar-based 4-year repayment rate borrower count,,,
2073,repayment.4_yr_db_fed_repayment.ug.numerator,DBRR4_FED_UG_NUM,Undergraduate federal student loan dollar-based 4-year repayment rate numerator,,,
2074,repayment.4_yr_db_fed_repayment.ug.denominator,DBRR4_FED_UG_DEN,Undergraduate federal student loan dollar-based 4-year repayment rate denominator,,,
2075,repayment.4_yr_db_fed_repayment.ug.rate,DBRR4_FED_UG_RT,Undergraduate federal student loan dollar-based 4-year repayment rate,,,
2076,repayment.4_yr_db_fed_repayment.gr.count,DBRR4_FED_GR_N,Graduate federal student loan dollar-based 4-year repayment rate borrower count,,,
2077,repayment.4_yr_db_fed_repayment.gr.numerator,DBRR4_FED_GR_NUM,Graduate federal student loan dollar-based 4-year repayment rate numerator,,,
2078,repayment.4_yr_db_fed_repayment.gr.denominator,DBRR4_FED_GR_DEN,Graduate federal student loan dollar-based 4-year repayment rate denominator,,,
2079,repayment.4_yr_db_fed_repayment.gr.rate,DBRR4_FED_GR_RT,Graduate federal student loan dollar-based 4-year repayment rate,,,
2080,repayment.4_yr_db_fed_repayment.ug_completer.count,DBRR4_FED_UGCOMP_N,Undergraduate borrower completers undergraduate federal student loan dollar-based 4-year repayment rate borrower count,,,
2081,repayment.4_yr_db_fed_repayment.ug_completer.numerator,DBRR4_FED_UGCOMP_NUM,Undergraduate borrower completers undergraduate federal student loan dollar-based 4-year repayment rate numerator,,,
2082,repayment.4_yr_db_fed_repayment.ug_completer.denominator,DBRR4_FED_UGCOMP_DEN,Undergraduate borrower completers undergraduate federal student loan dollar-based 4-year repayment rate denominator,,,
2083,repayment.4_yr_db_fed_repayment.ug_completer.rate,DBRR4_FED_UGCOMP_RT,Undergraduate borrower completers undergraduate federal student loan dollar-based 4-year repayment rate,,,
2084,repayment.4_yr_db_fed_repayment.ug_noncompleter.count,DBRR4_FED_UGNOCOMP_N,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 4-year repayment rate borrower count,,,
2085,repayment.4_yr_db_fed_repayment.ug_noncompleter.numerator,DBRR4_FED_UGNOCOMP_NUM,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 4-year repayment rate numerator,,,
2086,repayment.4_yr_db_fed_repayment.ug_noncompleter.denominator,DBRR4_FED_UGNOCOMP_DEN,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 4-year repayment rate denominator,,,
2087,repayment.4_yr_db_fed_repayment.ug_noncompleter.rate,DBRR4_FED_UGNOCOMP_RT,Undergraduate borrower non-completers undergraduate federal student loan dollar-based 4-year repayment rate repayment rate,,,
2088,repayment.4_yr_db_fed_repayment.ug_completer_unknown.count,DBRR4_FED_UGUNK_N,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 4-year repayment rate borrower count,,,
2089,repayment.4_yr_db_fed_repayment.ug_completer_unknown.numerator,DBRR4_FED_UGUNK_NUM,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 4-year repayment rate numerator,,,
2090,repayment.4_yr_db_fed_repayment.ug_completer_unknown.denominator,DBRR4_FED_UGUNK_DEN,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 4-year repayment rate denominator,,,
2091,repayment.4_yr_db_fed_repayment.ug_completer_unknown.rate,DBRR4_FED_UGUNK_RT,Undergraduate borrowers with unknown completion status undergraduate federal student loan dollar-based 4-year repayment rate repayment rate,,,
2092,repayment.5_yr_db_fed_repayment.ug.count,DBRR5_FED_UG_N,Undergraduate federal student loan dollar-based 5-year repayment rate borrower count,,,
2093,repayment.5_yr_db_fed_repayment.ug.numerator,DBRR5_FED_UG_NUM,Undergraduate federal student loan dollar-based 5-year repayment rate numerator,,,
2094,repayment.5_yr_db_fed_repayment.ug.denominator,DBRR5_FED_UG_DEN,Undergraduate federal student loan dollar-based 5-year repayment rate denominator,,,
2095,repayment.5_yr_db_fed_repayment.ug.rate,DBRR5_FED_UG_RT,Undergraduate federal student loan dollar-based 5-year repayment rate,,,
2096,repayment.5_yr_db_fed_repayment.gr.count,DBRR5_FED_GR_N,Graduate federal student loan dollar-based 5-year repayment rate borrower count,,,
2097,repayment.5_yr_db_fed_repayment.gr.numerator,DBRR5_FED_GR_NUM,Graduate federal student loan dollar-based 5-year repayment rate numerator,,,
2098,repayment.5_yr_db_fed_repayment.gr.denominator,DBRR5_FED_GR_DEN,Graduate federal student loan dollar-based 5-year repayment rate denominator,,,
2099,repayment.5_yr_db_fed_repayment.gr.rate,DBRR5_FED_GR_RT,Graduate federal student loan dollar-based 5-year repayment rate,,,
2100,repayment.10_yr_db_fed_repayment.ug.count,DBRR10_FED_UG_N,Undergraduate federal student loan dollar-based 10-year repayment rate borrower count,,,
2101,repayment.10_yr_db_fed_repayment.ug.numerator,DBRR10_FED_UG_NUM,Undergraduate federal student loan dollar-based 10-year repayment rate numerator,,,
2102,repayment.10_yr_db_fed_repayment.ug.denominator,DBRR10_FED_UG_DEN,Undergraduate federal student loan dollar-based 10-year repayment rate denominator,,,
2103,repayment.10_yr_db_fed_repayment.ug.rate,DBRR10_FED_UG_RT,Undergraduate federal student loan dollar-based 10-year repayment rate,,,
2104,repayment.10_yr_db_fed_repayment.gr.count,DBRR10_FED_GR_N,Graduate federal student loan dollar-based 10-year repayment rate borrower count,,,
2105,repayment.10_yr_db_fed_repayment.gr.numerator,DBRR10_FED_GR_NUM,Graduate federal student loan dollar-based 10-year repayment rate numerator,,,
2106,repayment.10_yr_db_fed_repayment.gr.denominator,DBRR10_FED_GR_DEN,Graduate federal student loan dollar-based 10-year repayment rate denominator,,,
2107,repayment.10_yr_db_fed_repayment.gr.rate,DBRR10_FED_GR_RT,Graduate federal student loan dollar-based 10-year repayment rate,,,
2108,repayment.20_yr_db_fed_repayment.ug.count,DBRR20_FED_UG_N,Undergraduate federal student loan dollar-based 20-year repayment rate borrower count,,,
2109,repayment.20_yr_db_fed_repayment.ug.numerator,DBRR20_FED_UG_NUM,Undergraduate federal student loan dollar-based 20-year repayment rate numerator,,,
2110,repayment.20_yr_db_fed_repayment.ug.denominator,DBRR20_FED_UG_DEN,Undergraduate federal student loan dollar-based 20-year repayment rate denominator,,,
2111,repayment.20_yr_db_fed_repayment.ug.rate,DBRR20_FED_UG_RT,Undergraduate federal student loan dollar-based 20-year repayment rate,,,
2112,repayment.20_yr_db_fed_repayment.gr.count,DBRR20_FED_GR_N,Graduate federal student loan dollar-based 20-year repayment rate borrower count,,,
2113,repayment.20_yr_db_fed_repayment.gr.numerator,DBRR20_FED_GR_NUM,Graduate federal student loan dollar-based 20-year repayment rate numerator,,,
2114,repayment.20_yr_db_fed_repayment.gr.denominator,DBRR20_FED_GR_DEN,Graduate federal student loan dollar-based 20-year repayment rate denominator,,,
2115,repayment.20_yr_db_fed_repayment.gr.rate,DBRR20_FED_GR_RT,Graduate federal student loan dollar-based 20-year repayment rate,,,
2116,repayment.1_yr_db_pp_repayment.ug.count,DBRR1_PP_UG_N,Undergraduate Parent PLUS Loan dollar-based 1-year repayment rate borrower count,,,
2117,repayment.1_yr_db_pp_repayment.ug.numerator,DBRR1_PP_UG_NUM,Undergraduate Parent PLUS Loan dollar-based 1-year repayment rate numerator,,,
2118,repayment.1_yr_db_pp_repayment.ug.denominator,DBRR1_PP_UG_DEN,Undergraduate Parent PLUS Loan dollar-based 1-year repayment rate denominator,,,
2119,repayment.1_yr_db_pp_repayment.ug.rate,DBRR1_PP_UG_RT,Undergraduate Parent PLUS Loan dollar-based 1-year repayment rate,,,
2120,repayment.1_yr_db_pp_repayment.ug_completer.count,DBRR1_PP_UGCOMP_N,Undergraduate student completers Parent PLUS Loan dollar-based 1-year repayment rate borrower count,,,
2121,repayment.1_yr_db_pp_repayment.ug_completer.numerator,DBRR1_PP_UGCOMP_NUM,Undergraduate student completers Parent PLUS Loan dollar-based 1-year repayment rate numerator,,,
2122,repayment.1_yr_db_pp_repayment.ug_completer.denominator,DBRR1_PP_UGCOMP_DEN,Undergraduate student completers Parent PLUS Loan dollar-based 1-year repayment rate denominator,,,
2123,repayment.1_yr_db_pp_repayment.ug_completer.rate,DBRR1_PP_UGCOMP_RT,Undergraduate student completers Parent PLUS Loan dollar-based 1-year repayment rate,,,
2124,repayment.1_yr_db_pp_repayment.ug_noncompleter.count,DBRR1_PP_UGNOCOMP_N,Undergraduate student non-completers Parent PLUS Loan dollar-based 1-year repayment rate borrower count,,,
2125,repayment.1_yr_db_pp_repayment.ug_noncompleter.numerator,DBRR1_PP_UGNOCOMP_NUM,Undergraduate student non-completers Parent PLUS Loan dollar-based 1-year repayment rate numerator,,,
2126,repayment.1_yr_db_pp_repayment.ug_noncompleter.denominator,DBRR1_PP_UGNOCOMP_DEN,Undergraduate student non-completers Parent PLUS Loan dollar-based 1-year repayment rate denominator,,,
2127,repayment.1_yr_db_pp_repayment.ug_noncompleter.rate,DBRR1_PP_UGNOCOMP_RT,Undergraduate student non-completers Parent PLUS Loan dollar-based 1-year repayment rate repayment rate,,,
2128,repayment.1_yr_db_pp_repayment.ug_completer_unknown.count,DBRR1_PP_UGUNK_N,Undergraduate students with unknown completion status Parent PLUS Loan dollar-based 1-year repayment rate borrower count,,,
2129,repayment.1_yr_db_pp_repayment.ug_completer_unknown.numerator,DBRR1_PP_UGUNK_NUM,Undergraduate students with unknown completion status Parent PLUS Loan dollar-based 1-year repayment rate numerator,,,
2130,repayment.1_yr_db_pp_repayment.ug_completer_unknown.denominator,DBRR1_PP_UGUNK_DEN,Undergraduate students with unknown completion status Parent PLUS Loan dollar-based 1-year repayment rate denominator,,,
2131,repayment.1_yr_db_pp_repayment.ug_completer_unknown.rate,DBRR1_PP_UGUNK_RT,Undergraduate students with unknown completion status Parent PLUS Loan dollar-based 1-year repayment rate repayment rate,,,
2132,repayment.4_yr_db_pp_repayment.ug.count,DBRR4_PP_UG_N,Undergraduate Parent PLUS Loan dollar-based 4-year repayment rate borrower count,,,
2133,repayment.4_yr_db_pp_repayment.ug.numerator,DBRR4_PP_UG_NUM,Undergraduate Parent PLUS Loan dollar-based 4-year repayment rate numerator,,,
2134,repayment.4_yr_db_pp_repayment.ug.denominator,DBRR4_PP_UG_DEN,Undergraduate Parent PLUS Loan dollar-based 4-year repayment rate denominator,,,
2135,repayment.4_yr_db_pp_repayment.ug.rate,DBRR4_PP_UG_RT,Undergraduate Parent PLUS Loan dollar-based 4-year repayment rate,,,
2136,repayment.4_yr_db_pp_repayment.ug_completer.count,DBRR4_PP_UGCOMP_N,Undergraduate student completers Parent PLUS Loan dollar-based 4-year repayment rate borrower count,,,
2137,repayment.4_yr_db_pp_repayment.ug_completer.numerator,DBRR4_PP_UGCOMP_NUM,Undergraduate student completers Parent PLUS Loan dollar-based 4-year repayment rate numerator,,,
2138,repayment.4_yr_db_pp_repayment.ug_completer.denominator,DBRR4_PP_UGCOMP_DEN,Undergraduate student completers Parent PLUS Loan dollar-based 4-year repayment rate denominator,,,
